Campaign_Date,Campaign_Type,Subject_Property,Area_Location,Property_Type,Listing_Status,Property_Collection_Count,Messages_Sent,Success_Rate_Pct,Opt_Outs,Opt_Out_Pct,Initial_Click_Count,CTR_Pct,CTA_Clicked_Submitted,CTA_Verified,Agent_SMS_Notify_Count,Agent_Notify_Twilio_Cost,Total_Twilio_Cost,Text_Message_ID,Text_Message,CTA_ID_Presented,CTA_URL
10/04/2025,Competition Command,35 Randwick Ave,San Francisco Bay Area,SFR,Sold,75,75,0.00%,0,0.00%,0,0.00%,0,0,0,$0.0000,$0.5925,,Meet your neighbor specialist,CTA_MEET,https://genie.link/meet
10/07/2025,Competition Command,3032 22nd Ave,Sacramento Metro,SFR,Sold,75,75,0.00%,0,0.00%,1,1.33%,0,0,0,$0.0000,$0.5925,SM1001,Home in your area just sold,CTA_INFO,https://genie.link/info
10/07/2025,Competition Command,103 Diablo Dr,Contra Costa County,SFR,Sold,75,75,0.00%,0,0.00%,0,0.00%,0,0,0,$0.0000,$0.5925,,Sold notification,CTA_LEARN,https://genie.link/learn
10/08/2025,Competition Command,2785 Butters Dr,South Bay LA,SFR,Sold,75,75,0.00%,0,0.00%,0,0.00%,0,0,0,$0.0000,$0.5925,,Your neighbor just sold,CTA_MEET,https://genie.link/meet
10/10/2025,Competition Command,3280 Pleitner Ave,East Bay Oakland,SFR,Sold,75,75,0.00%,0,0.00%,3,4.00%,0,0,0,$0.0000,$0.5925,SM1005,Sold near you,CTA_VALUE,https://genie.link/value
10/11/2025,Competition Command,4521 Laurel Canyon,San Fernando Valley,SFR,Sold,75,75,45.33%,1,1.33%,5,6.67%,2,1,1,$0.0158,$0.6083,SM1006,Just sold in your neighborhood,CTA_MEET,https://genie.link/meet
10/12/2025,Competition Command,8892 Sunset Blvd,West Hollywood,Condo,Sold,50,50,52.00%,0,0.00%,4,8.00%,1,0,1,$0.0158,$0.4108,SM1007,A condo near you has sold,CTA_INFO,https://genie.link/info
10/13/2025,Competition Command,1245 Palm Dr,Beverly Hills,SFR,Sold,75,75,48.00%,2,2.67%,6,8.00%,3,2,2,$0.0316,$0.6241,SM1008,Beverly Hills sale alert,CTA_VALUE,https://genie.link/value
10/14/2025,Competition Command,567 Ocean View,Santa Monica,Condo,Sold,60,60,55.00%,1,1.67%,8,13.33%,4,3,2,$0.0316,$0.5056,SM1009,Ocean View property sold,CTA_MEET,https://genie.link/meet
10/15/2025,Competition Command,3421 Hillcrest Ave,Pasadena,SFR,Sold,75,75,46.67%,0,0.00%,2,2.67%,1,1,1,$0.0158,$0.6083,SM1010,Pasadena home just sold,CTA_LEARN,https://genie.link/learn
10/16/2025,Competition Command,9087 La Jolla Shores,La Jolla San Diego,SFR,Sold,75,75,50.67%,1,1.33%,7,9.33%,4,2,2,$0.0316,$0.6241,SM1011,La Jolla sale notification,CTA_VALUE,https://genie.link/value
10/17/2025,Competition Command,2234 Coronado Bay,Coronado San Diego,Condo,Sold,50,50,54.00%,0,0.00%,3,6.00%,2,1,1,$0.0158,$0.4266,SM1012,Coronado property sold,CTA_INFO,https://genie.link/info
10/18/2025,Competition Command,6543 Mission Valley,Mission Valley SD,SFR,Sold,75,75,44.00%,2,2.67%,4,5.33%,2,1,1,$0.0158,$0.6083,SM1013,Mission Valley sale,CTA_MEET,https://genie.link/meet
10/19/2025,Competition Command,1122 Newport Coast,Newport Beach OC,SFR,Sold,75,75,49.33%,1,1.33%,9,12.00%,5,3,3,$0.0474,$0.6557,SM1014,Newport Coast luxury sold,CTA_VALUE,https://genie.link/value
10/20/2025,Competition Command,8765 Laguna Hills,Laguna Hills OC,Condo,Sold,60,60,51.67%,0,0.00%,4,6.67%,2,1,1,$0.0158,$0.5056,SM1015,Laguna Hills sale,CTA_LEARN,https://genie.link/learn
10/21/2025,Competition Command,3344 Irvine Spectrum,Irvine OC,SFR,Sold,75,75,52.00%,1,1.33%,6,8.00%,3,2,2,$0.0316,$0.6241,SM1016,Irvine property sold,CTA_INFO,https://genie.link/info
10/22/2025,Competition Command,5678 Rancho Cucamonga,Rancho Cucamonga IE,SFR,Sold,75,75,47.33%,2,2.67%,3,4.00%,1,1,1,$0.0158,$0.6083,SM1017,RC sale notification,CTA_MEET,https://genie.link/meet
10/23/2025,Competition Command,9012 Ontario Mills,Ontario IE,SFR,Sold,75,75,43.33%,1,1.33%,2,2.67%,1,0,1,$0.0158,$0.5925,SM1018,Ontario home sold,CTA_VALUE,https://genie.link/value
10/24/2025,Competition Command,4455 Palm Desert,Palm Desert CV,Condo,Sold,50,50,56.00%,0,0.00%,5,10.00%,3,2,2,$0.0316,$0.4424,SM1019,Palm Desert sale,CTA_LEARN,https://genie.link/learn
10/25/2025,Competition Command,7890 Indian Wells,Indian Wells CV,SFR,Sold,75,75,48.67%,1,1.33%,4,5.33%,2,1,1,$0.0158,$0.6083,SM1020,Indian Wells property sold,CTA_INFO,https://genie.link/info
10/26/2025,Competition Command,2345 Long Beach Blvd,Long Beach,Condo,Sold,60,60,50.00%,2,3.33%,3,5.00%,1,1,1,$0.0158,$0.5056,SM1021,Long Beach sale,CTA_MEET,https://genie.link/meet
10/27/2025,Competition Command,6789 Torrance Ave,Torrance South Bay,SFR,Sold,75,75,46.00%,0,0.00%,2,2.67%,1,0,0,$0.0000,$0.5925,SM1022,Torrance home sold,CTA_VALUE,https://genie.link/value
10/28/2025,Competition Command,1234 Manhattan Beach,Manhattan Beach SB,SFR,Sold,75,75,54.00%,1,1.33%,8,10.67%,5,3,3,$0.0474,$0.6557,SM1023,Manhattan Beach sale,CTA_LEARN,https://genie.link/learn
10/29/2025,Competition Command,5555 Redondo Beach,Redondo Beach SB,Condo,Sold,50,50,52.00%,0,0.00%,4,8.00%,2,2,1,$0.0158,$0.4266,SM1024,Redondo sale notification,CTA_INFO,https://genie.link/info
10/30/2025,Competition Command,8888 Hermosa Beach,Hermosa Beach SB,SFR,Sold,75,75,49.00%,1,1.33%,6,8.00%,3,2,2,$0.0316,$0.6241,SM1025,Hermosa Beach property sold,CTA_MEET,https://genie.link/meet
10/31/2025,Competition Command,2222 Santa Clarita,Santa Clarita Valley,SFR,Sold,75,75,45.00%,2,2.67%,3,4.00%,1,1,1,$0.0158,$0.6083,SM1026,Santa Clarita sale,CTA_VALUE,https://genie.link/value
11/01/2025,Competition Command,4444 Thousand Oaks,Thousand Oaks VC,SFR,Sold,75,75,48.00%,1,1.33%,4,5.33%,2,1,1,$0.0158,$0.6083,SM1027,Thousand Oaks home sold,CTA_LEARN,https://genie.link/learn
11/02/2025,Competition Command,6666 Simi Valley,Simi Valley VC,Condo,Sold,60,60,53.00%,0,0.00%,5,8.33%,3,2,2,$0.0316,$0.5214,SM1028,Simi Valley sale,CTA_INFO,https://genie.link/info
11/03/2025,Competition Command,9999 Oxnard,Oxnard VC,SFR,Sold,75,75,47.00%,2,2.67%,2,2.67%,1,0,0,$0.0000,$0.5925,SM1029,Oxnard property sold,CTA_MEET,https://genie.link/meet
11/04/2025,Competition Command,1357 Camarillo,Camarillo VC,SFR,Sold,75,75,51.00%,1,1.33%,6,8.00%,4,2,2,$0.0316,$0.6241,SM1030,Camarillo sale notification,CTA_VALUE,https://genie.link/value

