Section,Year,Outcome,Transactions,TotalValue_Millions,AgentCommission_2pt5pct_M,ReferralFee_35pct_M
-------,----,-------,------------,-------------------,-------------------------,-------------------
BY YEAR,2025,LOST,7648,11553.47,288.84,101.09
BY YEAR,2025,WON,83,144.44,3.61,1.26
BY YEAR,2024,LOST,3182,4692.84,117.32,41.06
BY YEAR,2024,WON,101,147.82,3.70,1.29
BY YEAR,2023,LOST,1657,2158.38,53.96,18.89
BY YEAR,2023,WON,59,59.39,1.48,.52
BY YEAR,2022,LOST,1564,2390.09,59.75,20.91
BY YEAR,2022,WON,69,99.19,2.48,.87
BY YEAR,2021,LOST,611,739.21,18.48,6.47
BY YEAR,2021,WON,50,89.08,2.23,.78
BY YEAR,2020,LOST,3,2.49,.06,.02
BY YEAR,2020,WON,1,1.90,.05,.02
OVERALL SUMMARY,,LOST - Other Agent Got Listing,14665,21536.48,538.41,188.44
OVERALL SUMMARY,,WON - Our Agent Got Listing,363,541.81,13.55,4.74
