"MlsID","Name","DisplayName"
"0","Sandicor","San Diego MLS"
"1","Socal","CRMLS"
"2","EBRDI","MAX/EBRDI MLS"
"3","BAREIS","Bay Area Real Estate Information Services"
"4","SFAR","San Francisco Association of Realtors"
"5","GFCCMLS","Greater Fairfield County"
"6","REIL","MLS Listings Inc"
"7","SandicorNew","SandicorNew"
"10","GlvarRets","Greater Las Vegas"
"11","MRIS","Metropolitan Regional Information Systems"
"12","FtMyers","Gulf Coast/Fort Myers"
"13","SEFL","Miami-Dade County"
"14","Martin","Martin County"
"15","Bonita","Bonita Springs"
"16","GFLR","Greater Fort Lauderdale Realtors"
"17","SouthBroward","South Broward County"
"19","Regional","Regional MLS"
"20","Marco Island","Marco Island"
"21","Naples","Naples"
"22","MidFlorida","My Florida"
"23","MFRMLS","Stellar MLS"
"26","NTREIS","North Texas Real Estate Info Systems"
"28","QuadCities","Quad Cities"
"29","Galesburg","Galesburg MLS"
"30","MidValley","Mid Valley MLS"
"31","SaukValley","Sauk Valley MLS"
"32","FMLS","FMLS"
"34","MetrolistColorado","Metrolist Colorado MLS"
"37","Pensacola (Incomplete)","Pensacola, FL"
"39","TARMLS","MLS of Southern Arizona"
"41","SVVAR","Sedona Verde Valley Association of Realtors"
"44","Ppar","PparRets"
"45","Cvrmls","CVRMLS"
"54","Rayac","York and Adams Counties"
"56","ARMLS","ARMLS"
"58","WPMLS","Hudson Gateway Multiple Listing Service"
"59","IRES","IRES"
"60","HARMLS","Houston Association of Realtors MLS"
"61","Clinton","Clinton MLS"
"65","GHVMLS","Greater Hudson Valley MLS"
"67","Carets","California RETS"
"68","Sabor","San Antonio Board of Realtors"
"69","ParkCity","Park City, UT"
"71","Miami","Miami"
"73","Point2","Point2 Agent Listing Syndication"
"75","RhodeIsland","Rhode Island State-Wide MLS"
"76","CWTAR","Central Western Tennessee Association of REALTORS"
"77","Brevard","Brevard County MLS"
"78","GlvarRets","Greater Las Vegas"
"79","MoveScore","MoveScore"
"80","BayCounty","Bay County Association of Realtors"
"81","PparRets","PparRets"
"82","Austin","Austin Board of Realtors"
"83","Honolulu","Honolulu Board of Realtors (HiCentral)"
"84","Gainesville","Gainesville-Alachua County Association of Realtors"
"85","CentralArizona","Central Arizona Board of Realtors"
"86","SantaBarbara","Santa Barbara Association of Realtors"
"87","Taxroll","Taxroll"
"88","VCRDS","Ventura County"
"89","CLAW","Combined Los Angles / Westside MLS"
"90","MetrolistSacramento","Metrolist Sacramento"
"91","Desert","California Desert Association of Realtors"
"92","Rim","Rim MLS"
"93","iTech","iTech"
"94","HighDesert","High Desert"
"95","Big Bear","Big Bear MLS"
"96","RoyalPalm","Royal Palm MLS"
"99","Temp","Metrolist Colorado MLS"
"100","Glvar Ftp Backup","Greater Las Vegas"
"101","CvrmlsSold","CVRMLS Sold Listings"
"102","PPAR FTP Backup","PPAR FTP Backup"
"103","NSSBOR","New Smyrna Beach Board of Realtors"
"104","RAIRC","Realtors Association of Indian River County"
"105","GAVAR","Greater Antelope Valley Association of Realtors"
"106","NEFMLS","Northeast Florida MLS"
"107","ECAR","Emerald Coast Association of Realtors"
