"COLUMN_NAME","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","IS_NULLABLE"
"ListingID","int","","NO"
"MlsID","int","","NO"
"PropertyTypeID","int","","NO"
"StatusTypeID","int","","NO"
"SaleTypeID","int","","NO"
"LegalStatusTypeID","int","","YES"
"DisplayAddress","bit","","YES"
"StreetNumber","varchar","25","YES"
"StreetName","varchar","250","YES"
"UnitNumber","varchar","25","YES"
"City","varchar","50","YES"
"State","char","2","YES"
"Zip","nchar","5","YES"
"County","varchar","50","YES"
"ListDate","datetime","","NO"
"Updated","datetime","","YES"
"SoldDate","datetime","","YES"
"PriceLow","int","","NO"
"PriceHigh","int","","YES"
"BathroomsFull","int","","YES"
"BathroomsHalf","int","","YES"
"BathroomsTotal","decimal","","YES"
"Bedrooms","int","","YES"
"MlsNumber","varchar","50","NO"
"Geocode","geography","-1","YES"
"GeocodeAccuracyID","int","","YES"
"GeocodeSourceID","int","","YES"
"GeocodeLastAttempted","datetime","","YES"
"Latitude","decimal","","YES"
"Longitude","decimal","","YES"
"YearBuilt","int","","YES"
"Sqft","int","","YES"
"Acres","decimal","","YES"
"LotSqft","int","","YES"
"VirtualTourUrl","varchar","250","YES"
"PhotoPrimaryUrl","varchar","250","YES"
"PhotoCount","int","","YES"
"Subdivision","varchar","100","YES"
"Complex","varchar","50","YES"
"APN","varchar","50","YES"
"MapCode","varchar","25","YES"
"MlsAreaName","varchar","50","YES"
"MlsAreaCode","varchar","50","YES"
"TractCode","varchar","50","YES"
"ListingAgentName","varchar","50","YES"
"ListingAgentID","varchar","50","YES"
"ListingAgentWorkPhone","varchar","25","YES"
"ListingAgentEmail","varchar","50","YES"
"ListingBrokerName","varchar","150","YES"
"ListingBrokerID","varchar","50","YES"
"ListingBrokerPhone","varchar","25","YES"
"SchoolDistrict","varchar","50","YES"
"SchoolElementary","varchar","50","YES"
"SchoolMiddle","varchar","50","YES"
"SchoolHigh","varchar","50","YES"
"DimLot","varchar","100","YES"
"DimLiving","varchar","25","YES"
"DimDining","varchar","25","YES"
"DimKitchen","varchar","25","YES"
"DimFamily","varchar","25","YES"
"DimBedroomMaster","varchar","25","YES"
"DimBedroom2","varchar","25","YES"
"DimBedroom3","varchar","25","YES"
"DimBedroom4","varchar","25","YES"
"DimBedroom5","varchar","25","YES"
"DimOffice","varchar","25","YES"
"DimGarage","varchar","25","YES"
"ParkingSpaces","int","","YES"
"GarageSpaces","int","","YES"
"HomeOwnerFees","decimal","","YES"
"Foreclosure","bit","","YES"
"Remarks","varchar","-1","YES"
"UnitCount","int","","YES"
"RentPrice","int","","YES"
"RentPeriodTypeID","int","","YES"
"MelloRoosFee","int","","YES"
"MelloRoosFrequencyID","int","","YES"
"ExtendedData","xml","-1","YES"
"BathroomsThreeQuarter","int","","YES"
"SalePrice","int","","YES"
"DOM","int","","YES"
"BuyersAgentName","varchar","150","YES"
"BuyersAgentID","varchar","150","YES"
"BuyersAgentOfficeName","varchar","150","YES"
"BuyersAgentOfficeID","varchar","150","YES"
"CoListingAgentName","varchar","150","YES"
"CoListingAgentID","varchar","150","YES"
"CoListingOfficeName","varchar","150","YES"
"CoListingOfficeID","varchar","150","YES"
"OriginalListPrice","int","","YES"
"MlsUpdateDate","datetime","","YES"
"MlsCreateDate","datetime","","YES"
"ParserRunDate","datetime","","YES"
