"COLUMN_NAME","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","IS_NULLABLE"
"AttomId","int","","NO"
"SitusStateCode","varchar","2","YES"
"SitusCounty","varchar","50","YES"
"PropertyJurisdictionName","varchar","50","YES"
"SitusStateCountyFIPS","char","5","YES"
"CombinedStatisticalArea","varchar","100","YES"
"CBSAName","varchar","100","YES"
"CBSACode","char","5","YES"
"MSAName","varchar","100","YES"
"MSACode","char","5","YES"
"MetropolitanDivision","varchar","100","YES"
"MinorCivilDivisionName","varchar","100","YES"
"MinorCivilDivisionCode","char","5","YES"
"NeighborhoodCode","varchar","10","YES"
"CensusFIPSPlaceCode","char","5","YES"
"CensusTract","int","","YES"
"CensusBlockGroup","int","","YES"
"CensusBlock","int","","YES"
"ParcelNumberRaw","varchar","60","YES"
"ParcelNumberFormatted","varchar","60","YES"
"ParcelNumberYearAdded","smallint","","YES"
"ParcelNumberAlternate","varchar","60","YES"
"ParcelMapBook","varchar","10","YES"
"ParcelMapPage","varchar","10","YES"
"ParcelNumberYearChange","smallint","","YES"
"ParcelNumberPrevious","varchar","60","YES"
"ParcelAccountNumber","varchar","35","YES"
"PropertyAddressFull","varchar","150","YES"
"PropertyAddressHouseNumber","varchar","25","YES"
"PropertyAddressStreetDirection","varchar","10","YES"
"PropertyAddressStreetName","varchar","100","YES"
"PropertyAddressStreetSuffix","varchar","25","YES"
"PropertyAddressStreetPostDirection","varchar","10","YES"
"PropertyAddressUnitPrefix","varchar","20","YES"
"PropertyAddressUnitValue","varchar","25","YES"
"PropertyAddressCity","varchar","50","YES"
"PropertyAddressState","varchar","2","YES"
"PropertyAddressZIP","varchar","5","YES"
"PropertyAddressZIP4","varchar","4","YES"
"PropertyAddressCRRT","varchar","4","YES"
"PropertyAddressInfoPrivacy","smallint","","YES"
"CongressionalDistrictHouse","smallint","","YES"
"PropertyLatitude","float","","YES"
"PropertyLongitude","float","","YES"
"GeoQuality","varchar","20","YES"
"LegalDescription","varchar","255","YES"
"LegalRange","varchar","35","YES"
