Campaign Date,Campaign Type,Subject Property,Property Type,Listing Status,Property Collection Count,Messages Sent,Success Rate %,Opt Outs,Opt Out %,Initial Click Count,Initial Click % (CTR),CTA Clicked (Submitted),CTA Verified,Agent SMS Notify Count,Agent Notify Twilio Cost,Total Twilio Cost,Text Message ID,Text Message,CTA ID Presented,CTA URL
10/04/2025,Competition Command,35 Randwick Ave,SFR,Sold,75,75,0.00%,0,0.00%,0,0.00%,0,0,0,$0.0000,$0.0000,,,,
10/07/2025,Competition Command,3032 22nd Ave,SFR,Sold,75,75,0.00%,0,0.00%,1,1.33%,0,0,0,$0.0000,$0.0000,,,,
10/07/2025,Competition Command,103 Diablo Dr,SFR,Sold,75,75,0.00%,0,0.00%,0,0.00%,0,0,0,$0.0000,$0.0000,,,,
10/08/2025,Competition Command,2785 Butters Dr,SFR,Sold,75,75,0.00%,0,0.00%,0,0.00%,0,0,0,$0.0000,$0.0000,,,,
10/10/2025,Competition Command,3280 Pleitner Ave,SFR,Sold,75,75,0.00%,0,0.00%,3,4.00%,0,0,0,$0.0000,$0.0000,,,,
10/11/2025,Competition Command,6951 Chambers Dr,SFR,Sold,75,75,0.00%,0,0.00%,0,0.00%,0,0,0,$0.0000,$0.0000,,,,
10/18/2025,Competition Command,3036 23rd Avenue,SFR,Sold,75,75,0.00%,0,0.00%,1,1.33%,0,0,0,$0.0000,$0.0000,,,,
10/18/2025,Competition Command,580 Chetwood St.,SFR,Sold,75,75,0.00%,0,0.00%,1,1.33%,0,0,0,$0.0000,$0.0000,,,,
10/19/2025,Competition Command,4051 Rhoda Ave,SFR,Sold,75,75,0.00%,0,0.00%,2,2.67%,0,0,0,$0.0000,$0.0000,,,,
10/19/2025,Competition Command,3877 Howe St,Condo,Sold,75,75,0.00%,0,0.00%,1,1.33%,0,0,0,$0.0000,$0.0000,,,,
10/20/2025,Competition Command,3327 Victor Ave,SFR,Sold,75,75,0.00%,0,0.00%,0,0.00%,0,0,0,$0.0000,$0.0000,,,,
10/21/2025,Competition Command,4008 Woodruff Ave,SFR,Sold,75,75,0.00%,0,0.00%,1,1.33%,0,0,0,$0.0000,$0.0000,,,,
10/21/2025,Competition Command,408 Euclid Ave,SFR,Sold,75,75,0.00%,0,0.00%,1,1.33%,0,0,0,$0.0000,$0.0000,,,,
10/21/2025,Competition Command,3750 Harrison St,Condo,Sold,75,75,0.00%,0,0.00%,1,1.33%,0,0,0,$0.0000,$0.0000,,,,
10/22/2025,Competition Command,2839 Bartlett St,SFR,Sold,75,75,0.00%,0,0.00%,1,1.33%,0,0,0,$0.0000,$0.0000,,,,
10/22/2025,Competition Command,2840 11th Ave,SFR,Sold,75,75,0.00%,0,0.00%,0,0.00%,0,0,0,$0.0000,$0.0000,,,,
10/23/2025,Competition Command,541 Boulevard Way,SFR,Sold,75,75,0.00%,0,0.00%,0,0.00%,0,0,0,$0.0000,$0.0000,,,,
10/23/2025,Competition Command,124 Arbor Drive,SFR,Sold,75,75,0.00%,0,0.00%,1,1.33%,0,0,0,$0.0000,$0.0000,,,,
10/24/2025,Competition Command,3920 Coolidge Ave,SFR,Sold,75,75,0.00%,0,0.00%,0,0.00%,0,0,0,$0.0000,$0.0000,,,,
10/25/2025,Competition Command,4606 San Sebastian Ave,SFR,Sold,75,75,0.00%,0,0.00%,0,0.00%,0,0,0,$0.0000,$0.0000,,,,
10/25/2025,Competition Command,1 Kelton Court,Condo,Sold,75,75,0.00%,0,0.00%,1,1.33%,0,0,0,$0.0000,$0.0000,,,,
10/26/2025,Competition Command,121 Nova Dr,SFR,Sold,75,75,0.00%,0,0.00%,1,1.33%,0,0,0,$0.0000,$0.0000,,,,
10/28/2025,Competition Command,690 Mandana Blvd,SFR,Sold,75,75,0.00%,0,0.00%,1,1.33%,0,0,0,$0.0000,$0.0000,,,,
10/29/2025,Competition Command,711 Arimo Ave,SFR,Sold,75,75,0.00%,0,0.00%,0,0.00%,0,0,0,$0.0000,$0.0000,,,,
10/30/2025,Competition Command,73 Fairview Ave,SFR,Sold,75,75,0.00%,0,0.00%,2,2.67%,0,0,0,$0.0000,$0.0000,,,,
10/31/2025,Competition Command,1462 Trestle Glen Rd,SFR,Sold,75,75,0.00%,0,0.00%,1,1.33%,0,0,0,$0.0000,$0.0000,,,,
