Campaign Date,Campaign Type,Subject Property,Property Type,Listing Status,Property Collection Count,Messages Sent,Success Rate %,Opt Outs,Opt Out %,Initial Click Count,Initial Click % (CTR),CTA Clicked (Submitted),CTA Verified,Agent SMS Notify Count,Agent Notify Twilio Cost,Total Twilio Cost,Text Message ID,Text Message,CTA ID Presented,CTA URL,PropertyCollectionDetailId
10/18/2025,Competition Command,16883 Bluewater Lane,,Sold,75,75,2.67,0,0.0,0,0.0,0,0,2,0.0,0.0332,1684504,,,https://cloud.thegenie.ai/genie-pages/0a9b3f46-8362-47dc-9890-80d81a9c3ed1/property-compare?propertyId=15345604,13671
10/19/2025,Competition Command,18840 Nau Avenue,,Sold,75,75,2.67,0,0.0,0,0.0,0,0,2,0.0,0.0332,1686279,,,https://cloud.thegenie.ai/genie-pages/af6d2580-5e09-4f56-88b4-168c927899bd/property-compare?propertyId=12717634,14522
10/18/2025,Competition Command,4241 Maple Ave,,Sold,75,75,1.33,0,0.0,0,0.0,0,0,1,0.0,0.0166,1685112,,,https://cloud.thegenie.ai/genie-pages/d836cec6-59e3-4b9f-a19c-864887a4f09d/property-compare?propertyId=9694412,15408
10/17/2025,Competition Command,6824 Wilton Dr,,Active,75,75,1.33,0,0.0,0,0.0,0,0,1,0.0,0.0166,1684246,,,https://cloud.thegenie.ai/genie-pages/db5e9dbe-f935-4eb1-87ba-5b0648aa61b9/property-compare?propertyId=9826669,15538
10/06/2025,Competition Command,1701 Ramelli Avenue,,Sold,75,75,2.67,0,0.0,0,0.0,0,0,2,0.0,0.0332,1668650,,,https://cloud.thegenie.ai/genie-pages/947839e6-fb43-4d29-ab06-6e6cfab34cab/property-compare?propertyId=21975741,16526
10/06/2025,Competition Command,464 W Avenida De Las Flores,,Sold,75,75,2.67,0,0.0,0,0.0,0,0,4,0.0,0.0332,1668652,,,https://cloud.thegenie.ai/genie-pages/a13a0406-3544-4aff-98e9-59f54c868b37/property-compare?propertyId=22086066,16528
10/07/2025,Competition Command,1487 Longridge Court,,Sold,75,75,2.67,0,0.0,0,0.0,0,0,2,0.0,0.0332,1669213,,,https://cloud.thegenie.ai/genie-pages/24a9aa61-3872-4719-84c9-670cf354f94b/property-compare?propertyId=22134374,16542
10/08/2025,Competition Command,4250 Terrace St,,Sold,75,75,1.33,0,0.0,0,0.0,0,0,1,0.0,0.0166,1680588,,,https://cloud.thegenie.ai/genie-pages/e7c1d7ea-6ba8-4263-89f8-2b55207ebfbf/property-compare?propertyId=9649250,16581
10/10/2025,Competition Command,4022 Avenida Verano,,Sold,75,75,2.67,0,0.0,0,0.0,0,0,2,0.0,0.0332,1681218,,,https://cloud.thegenie.ai/genie-pages/beff046a-fe96-4114-9fe3-2dac6b1c4dda/property-compare?propertyId=22102456,16597
10/10/2025,Competition Command,536 Granite Hills Street,,Sold,75,75,2.67,0,0.0,0,0.0,0,0,2,0.0,0.0332,1681208,,,https://cloud.thegenie.ai/genie-pages/93ba456c-1684-49fd-a6d7-5eb77ccb1bdb/property-compare?propertyId=22104198,16598
10/10/2025,Competition Command,5024 Saint Annes Drive,,Sold,75,75,2.67,0,0.0,0,0.0,0,0,2,0.0,0.0332,1681465,,,https://cloud.thegenie.ai/genie-pages/9c85444b-71f5-4cdf-a2e8-d86cbb4a56fa/property-compare?propertyId=82616002,16605
10/10/2025,Competition Command,4191 Fruitvale,,Sold,75,75,4.0,0,0.0,0,0.0,0,0,3,0.0,0.0498,1681487,,,https://cloud.thegenie.ai/genie-pages/99da230a-9fa8-48f0-bed8-8ae7fc121fc6/property-compare?propertyId=9687410,16607
10/11/2025,Competition Command,5708 Colton Blvd,,Sold,75,75,1.33,0,0.0,0,0.0,0,0,1,0.0,0.0166,1682022,,,https://cloud.thegenie.ai/genie-pages/698b2af2-1f90-4124-993e-e0b707da09fb/property-compare?propertyId=9775249,16617
10/16/2025,Competition Command,3936 Midvale Ave,,Sold,75,75,1.33,0,0.0,0,0.0,0,0,1,0.0,0.0166,1684073,,,https://cloud.thegenie.ai/genie-pages/8dbd829b-2058-4a46-90f0-948dfb3693e7/property-compare?propertyId=9666325,16658
10/18/2025,Competition Command,5950 Grizzly Peak Blvd,,Sold,75,75,2.67,0,0.0,0,0.0,0,0,2,0.0,0.0332,1684502,,,https://cloud.thegenie.ai/genie-pages/d901e5fe-fbf5-4a7a-b9d0-5e80403730b7/property-compare?propertyId=9793055,16675
10/19/2025,Competition Command,1572 Dover Avenue,,Sold,75,75,2.67,0,0.0,0,0.0,0,0,2,0.0,0.0332,1686283,,,https://cloud.thegenie.ai/genie-pages/9a0fddbf-08c2-4333-b024-3ef269da7c1f/property-compare?propertyId=22172064,16722
10/19/2025,Competition Command,991 Clear Sky Place,,Sold,75,75,2.67,0,0.0,0,0.0,0,0,4,0.0,0.0332,1686661,,,https://cloud.thegenie.ai/genie-pages/864e8111-b711-439b-a885-34a6beddd939/property-compare?propertyId=22147499,16726
10/19/2025,Competition Command,4963 Lamia Way,,Active,75,75,2.67,0,0.0,0,0.0,0,0,2,0.0,0.0332,1686831,,,https://cloud.thegenie.ai/genie-pages/3b181392-5730-408d-987f-129483cce8b3/property-compare?propertyId=18526717,16744
10/21/2025,Competition Command,213 Heath Meadow Court,,Sold,75,75,2.67,0,0.0,0,0.0,0,0,4,0.0,0.0332,1689263,,,https://cloud.thegenie.ai/genie-pages/30724a74-aaab-48c1-9cfe-53884a3f561c/property-compare?propertyId=22183572,16773
10/21/2025,Competition Command,2389 Centennial Way,,Sold,75,75,2.67,0,0.0,0,0.0,0,0,12,0.0,0.0332,1689261,,,https://cloud.thegenie.ai/genie-pages/130bd3dc-938d-4536-99a5-99c54984c8ac/property-compare?propertyId=16290502,16774
10/21/2025,Competition Command,23001 Yodel Dr,,Active,75,75,10.67,0,0.0,0,0.0,0,0,13,0.0,0.1328,1689268,,,https://cloud.thegenie.ai/genie-pages/b8566b2e-d85b-45bb-9314-b04876a725b2/property-compare?propertyId=11568790,16785
10/21/2025,Competition Command,2012 Cottage Way,,Active,75,75,5.33,0,0.0,0,0.0,0,0,10,0.0,0.0664,1689287,,,https://cloud.thegenie.ai/genie-pages/950379d0-cc5a-4c0b-8237-2518ae83a6d8/property-compare?propertyId=18643961,16786
10/21/2025,Competition Command,3026 Harrison Street,,Sold,75,75,2.67,0,0.0,0,0.0,0,0,2,0.0,0.0332,1689553,,,https://cloud.thegenie.ai/genie-pages/e59a7722-b995-4e83-a3b5-8f991f8fc3ce/property-compare?propertyId=9639347,16788
10/21/2025,Competition Command,637 Cayo Grande Court,,Active,75,75,2.67,0,0.0,0,0.0,0,0,2,0.0,0.0332,1689557,,,https://cloud.thegenie.ai/genie-pages/fb5f09ce-fd6a-4d5a-a349-1be7e3e727f6/property-compare?propertyId=22135292,16794
10/21/2025,Competition Command,29251 Fountainwood,,Active,75,75,2.67,0,0.0,0,0.0,0,0,2,0.0,0.0332,1689559,,,https://cloud.thegenie.ai/genie-pages/4919311c-c7bb-4c62-82b0-832459822844/property-compare?propertyId=11974787,16795
