Campaign Date,Campaign Type,Subject Property,Property Type,Listing Status,Property Collection Count,Messages Sent,Success Rate %,Opt Outs,Opt Out %,Initial Click Count,Initial Click % (CTR),CTA Clicked (Submitted),CTA Verified,Agent SMS Notify Count,Agent Notify Twilio Cost,Total Twilio Cost,Text Message ID,Text Message,CTA ID Presented,CTA URL
10/04/2025,Competition Command,35 Randwick Ave,SFR,Sold,75,74,86.49,0,0.0,0,0.0,0,0,0,$0.0000,$1.2284,1657168,,,https://mve.re/go/1/L5kjZ
10/06/2025,Competition Command,1063 Clarendon Crescent,SFR,Active,150,150,78.67,0,0.0,0,0.0,0,0,0,$0.0000,$2.4402,1668500,,,https://mve.re/go/1/QjWjO
10/07/2025,Competition Command,3032 22nd Ave,SFR,Sold,75,74,72.97,0,0.0,1,1.35,0,0,0,$0.0000,$1.2118,1668678,,,https://mve.re/go/3/7lnXL
10/07/2025,Competition Command,103 Diablo Dr,SFR,Sold,75,75,74.67,0,0.0,0,0.0,0,0,0,$0.0000,$1.2118,1668752,,,https://mve.re/go/3/6l57V
10/08/2025,Competition Command,2785 Butters Dr,SFR,Sold,75,74,94.59,0,0.0,0,0.0,0,0,0,$0.0000,$1.2284,1680043,,,https://mve.re/go/2/9YVYR
10/10/2025,Competition Command,3280 Pleitner Ave,SFR,Sold,75,75,85.33,0,0.0,3,4.0,0,0,0,$0.0000,$1.2450,1680939,,,https://mve.re/go/3/9lmLb
10/11/2025,Competition Command,6951 Chambers Dr,SFR,Sold,75,75,85.33,0,0.0,0,0.0,0,0,0,$0.0000,$1.2450,1681492,,,https://mve.re/go/1/P6EMz
10/18/2025,Competition Command,3036 23rd Avenue,SFR,Sold,75,75,82.67,0,0.0,0,0.0,0,0,0,$0.0000,$1.1952,1684352,,,https://mve.re/go/2/QQ0nY
10/18/2025,Competition Command,580 Chetwood St.,SFR,Sold,75,75,85.33,0,0.0,0,0.0,0,0,0,$0.0000,$1.2450,1684427,,,https://mve.re/go/3/e2Y3m
10/18/2025,Competition Command,5909 Colton Blvd,SFR,Active,75,75,77.33,0,0.0,0,0.0,0,0,0,$0.0000,$1.2118,1684510,,,https://mve.re/go/1/yxxy3
10/19/2025,Competition Command,3877 Howe St,SFR,Sold,75,74,74.32,0,0.0,0,0.0,0,0,0,$0.0000,$1.2118,1685768,,,https://mve.re/go/1/aOO4m
10/19/2025,Competition Command,6701 Sobrante Rd,SFR,Active,75,75,68.0,0,0.0,0,0.0,0,0,0,$0.0000,$1.2118,1685693,,,https://mve.re/go/1/1wwa4
10/19/2025,Competition Command,907 York St,SFR,Active,75,71,78.87,0,0.0,0,0.0,0,0,0,$0.0000,$1.1454,1685622,,,https://mve.re/go/2/GNYQ0
10/19/2025,Competition Command,4051 Rhoda Ave,SFR,Sold,75,75,89.33,0,0.0,0,0.0,0,0,0,$0.0000,$1.2450,1685547,,,https://mve.re/go/3/7lWv2
10/20/2025,Competition Command,3327 Victor Ave,SFR,Sold,75,75,74.67,0,0.0,0,0.0,0,0,0,$0.0000,$1.0458,1686883,,,https://mve.re/go/2/DgoG7
10/20/2025,Competition Command,542 Midcrest Rd,SFR,Active,75,74,55.41,0,0.0,0,0.0,0,0,0,$0.0000,$0.9462,1686958,,,https://mve.re/go/2/b6OOO
10/20/2025,Competition Command,6257 Virgo Rd,SFR,Active,75,74,55.41,0,0.0,0,0.0,0,0,0,$0.0000,$1.0292,1687032,,,https://mve.re/go/3/Jmwga
10/21/2025,Competition Command,4008 Woodruff Ave,SFR,Sold,75,74,87.84,0,0.0,0,0.0,0,0,0,$0.0000,$1.1786,1688975,,,https://mve.re/go/1/7B1ZB
