Phone,FriendlyName,AreaCode,City,State,Outbound2025,Inbound2025,ResponseRate,DateCreated
+1 (213) 699-4669,Delivery Farm 4,213,Los Angeles,CA,79110,1652,2.09,06-11-2016
+1 (805) 243-3571,Delivery Farm 21,805,Ventura/Santa Barbara,CA,48733,1097,2.25,09-04-2020
+1 (619) 304-3643,Delivery Farm 5,619,San Diego,CA,22640,167,0.74,03-25-2019
+1 (858) 203-2070,Delivery Farm 15,858,San Diego,CA,9535,366,3.84,08-30-2020
+1 (510) 988-5581,(510) 988-5581 - Delivery Farm,510,Oakland/East Bay,CA,5766,160,2.77,10-01-2021
+1 (510) 988-5446,(510) 988-5446 - Delivery Farm,510,Oakland/East Bay,CA,5718,187,3.27,10-01-2021
+1 (510) 988-5477,(510) 988-5477 - Delivery Farm,510,Oakland/East Bay,CA,5629,158,2.81,10-01-2021
+1 (510) 988-5567,(510) 988-5567 - Delivery Farm,510,Oakland/East Bay,CA,5535,154,2.78,10-01-2021
+1 (415) 630-5996,(415) 630-5996 - Delivery Farm,415,San Francisco,CA,5466,146,2.67,09-10-2021
+1 (415) 687-6218,(415) 687-6218 - Delivery Farm,415,San Francisco,CA,5366,162,3.02,10-01-2021
+1 (619) 431-3735,Delivery Farm 2,619,San Diego,CA,4559,149,3.27,06-30-2015
+1 (619) 304-4669,Delivery Farm 1,619,San Diego,CA,4524,138,3.05,06-11-2016
+1 (760) 230-9898,Delivery Farm 24,760,North San Diego,CA,3107,94,3.03,09-04-2020
+1 (760) 330-2275,Delivery Farm OG,760,North San Diego,CA,3099,133,4.29,07-27-2020
+1 (760) 230-9886,Delivery Farm 20,760,North San Diego,CA,2992,94,3.14,09-04-2020
+1 (714) 617-7037,(714) 617-7037 - Delivery Farm,714,Orange County,CA,2567,79,3.08,09-10-2021
+1 (714) 597-6560,(714) 597-6560 - Delivery Farm,714,Orange County,CA,2563,75,2.93,09-10-2021
+1 (714) 410-5045,(714) 410-5045 - Delivery Farm,714,Orange County,CA,2547,106,4.16,09-10-2021
