Phone,City,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,TotalOutbound,OptOuts2025,OptOutRate,Inbound2025,Engagement,EngageRate
+1 (213) 699-4669,Los Angeles,CA,8357,10755,12626,8441,9205,8352,8115,5682,2148,4506,923,79110,1118,1.41,1652,534,0.68
+1 (805) 243-3571,Ventura/Santa Barbara,CA,3427,5226,7880,8040,6778,2405,3940,4342,2892,3298,505,48733,795,1.63,1097,302,0.62
+1 (619) 304-3643,San Diego,CA,6423,3229,2651,1860,2207,1847,1697,1078,605,864,179,22640,45,0.2,167,122,0.54
+1 (858) 203-2070,San Diego,CA,3130,1237,780,698,815,649,633,670,403,381,139,9535,126,1.32,366,240,2.52
+1 (510) 988-5581,Oakland/East Bay,CA,569,615,800,757,638,639,708,352,172,456,60,5766,70,1.21,160,90,1.56
+1 (510) 988-5446,Oakland/East Bay,CA,501,636,787,739,597,684,681,359,212,468,54,5718,89,1.56,187,98,1.71
+1 (510) 988-5477,Oakland/East Bay,CA,538,630,840,693,584,652,633,343,188,467,61,5629,82,1.46,158,76,1.35
+1 (510) 988-5567,Oakland/East Bay,CA,516,592,792,704,598,642,636,380,186,420,69,5535,78,1.41,154,76,1.37
+1 (415) 630-5996,San Francisco,CA,781,682,729,600,616,558,559,344,175,372,50,5466,91,1.66,146,55,1.01
+1 (415) 687-6218,San Francisco,CA,780,646,715,640,587,536,542,332,164,371,53,5366,88,1.64,162,74,1.38
+1 (619) 431-3735,San Diego,CA,2414,479,205,168,372,221,208,184,161,99,48,4559,43,0.94,149,106,2.33
+1 (619) 304-4669,San Diego,CA,2288,559,212,158,400,228,200,193,139,102,45,4524,59,1.3,138,79,1.75
+1 (760) 230-9898,North San Diego,CA,1583,272,134,145,156,168,125,98,103,250,73,3107,38,1.22,94,56,1.8
+1 (760) 330-2275,North San Diego,CA,1527,267,172,128,163,178,120,103,89,296,56,3099,34,1.1,133,99,3.19
+1 (760) 230-9886,North San Diego,CA,1463,274,148,121,139,190,102,116,125,263,51,2992,34,1.14,94,60,2.01
+1 (714) 617-7037,Orange County,CA,950,750,178,104,129,96,89,122,56,74,19,2567,13,0.51,79,66,2.57
+1 (714) 597-6560,Orange County,CA,970,733,160,135,132,94,92,103,58,69,17,2563,4,0.16,75,71,2.77
+1 (714) 410-5045,Orange County,CA,958,711,170,133,118,125,65,128,47,79,13,2547,16,0.63,106,90,3.53
+1 (714) 597-6680,Orange County,CA,1009,658,160,127,138,102,80,121,56,63,12,2526,12,0.48,90,78,3.09
+1 (714) 597-6067,Orange County,CA,975,682,188,136,131,90,83,102,52,65,11,2515,14,0.56,79,65,2.58
+1 (714) 586-8806,Orange County,CA,911,695,157,146,148,91,80,92,70,61,17,2468,6,0.24,77,71,2.88
+1 (714) 597-6177,Orange County,CA,923,730,145,124,126,91,89,97,44,74,14,2457,13,0.53,74,61,2.48
+1 (714) 242-8570,Orange County,CA,898,734,144,125,135,90,93,106,52,58,9,2444,12,0.49,77,65,2.66
+1 (714) 519-2313,Orange County,CA,935,711,165,118,132,95,71,87,60,58,10,2442,11,0.45,101,90,3.69
+1 (714) 586-8248,Orange County,CA,917,729,155,108,118,87,84,102,61,66,6,2433,13,0.53,77,64,2.63
+1 (949) 519-4254,South Orange County,CA,609,404,198,160,127,98,91,133,77,82,23,2002,13,0.65,86,73,3.65
+1 (949) 519-4240,South Orange County,CA,560,384,185,174,155,114,93,141,74,98,11,1989,7,0.35,68,61,3.07
+1 (949) 373-3998,South Orange County,CA,614,401,169,156,120,109,96,135,76,73,16,1965,13,0.66,82,69,3.51
+1 (949) 506-2370,South Orange County,CA,606,395,166,187,136,96,99,117,52,95,14,1963,4,0.2,82,78,3.97
