Phone,FriendlyName,AreaCode,City,Usage2025,DateCreated
+1 (213) 699-4669,Delivery Farm 4,213,"Los Angeles, CA",79110,2016-06-11
+1 (805) 243-3571,Delivery Farm 21,805,"Ventura/Santa Barbara, CA",48733,2020-09-04
+1 (619) 304-3643,Delivery Farm 5,619,"San Diego, CA",22640,2019-03-25
+1 (858) 203-2070,Delivery Farm 15,858,"San Diego, CA",9535,2020-08-30
+1 (510) 988-5581,(510) 988-5581 - Delivery Farm,510,"Oakland/East Bay, CA",5766,2021-10-01
+1 (510) 988-5446,(510) 988-5446 - Delivery Farm,510,"Oakland/East Bay, CA",5718,2021-10-01
+1 (510) 988-5477,(510) 988-5477 - Delivery Farm,510,"Oakland/East Bay, CA",5629,2021-10-01
+1 (510) 988-5567,(510) 988-5567 - Delivery Farm,510,"Oakland/East Bay, CA",5535,2021-10-01
+1 (415) 630-5996,(415) 630-5996 - Delivery Farm,415,"San Francisco, CA",5466,2021-09-10
+1 (415) 687-6218,(415) 687-6218 - Delivery Farm,415,"San Francisco, CA",5366,2021-10-01
+1 (619) 431-3735,Delivery Farm 2,619,"San Diego, CA",4559,2015-06-30
+1 (619) 304-4669,Delivery Farm 1,619,"San Diego, CA",4524,2016-06-11
+1 (760) 230-9898,Delivery Farm 24,760,"North San Diego, CA",3107,2020-09-04
+1 (760) 330-2275,Delivery Farm OG,760,"North San Diego, CA",3099,2020-07-27
+1 (760) 230-9886,Delivery Farm 20,760,"North San Diego, CA",2992,2020-09-04
+1 (714) 617-7037,(714) 617-7037 - Delivery Farm,714,"Orange County, CA",2567,2021-09-10
+1 (714) 597-6560,(714) 597-6560 - Delivery Farm,714,"Orange County, CA",2563,2021-09-10
+1 (714) 410-5045,(714) 410-5045 - Delivery Farm,714,"Orange County, CA",2547,2021-09-10
+1 (714) 597-6680,(714) 597-6680 - Delivery Farm,714,"Orange County, CA",2526,2021-09-10
+1 (714) 597-6067,(714) 597-6067 - Delivery Farm,714,"Orange County, CA",2515,2021-09-10
